City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Alekseyevskoye,RU,55.3071,50.1135,37.92,86,91,18.14,overcast clouds
220,Meulaboh,ID,4.1363,96.1285,74.26,84,100,3.71,overcast clouds
221,Bengkulu,ID,-3.8004,102.2655,76.95,82,100,4.45,overcast clouds
222,Mao,ES,39.8885,4.2658,46.96,61,20,14.97,few clouds
223,Pran Buri,TH,12.3847,99.9098,75.97,60,89,9.46,overcast clouds
224,Makurdi,NG,7.7411,8.5121,92.23,30,100,2.66,overcast clouds
225,Conceicao Da Feira,BR,-12.5058,-38.9986,82.11,59,12,10.04,few clouds
226,Nueva Gorgona,PA,8.55,-79.8667,94.21,73,98,11.01,overcast clouds
227,Kloulklubed,PW,7.0419,134.2556,75.7,81,100,5.64,overcast clouds
228,Foam Lake,CA,51.65,-103.5343,37.42,100,93,4.29,overcast clouds
229,Saurimo,AO,-9.6608,20.3916,66.56,95,100,3.91,overcast clouds
230,Troitsko-Pechorsk,RU,62.7084,56.1964,25.09,96,100,9.78,snow
231,Ubatuba,BR,-23.4339,-45.0711,77.72,87,53,7.36,broken clouds
232,Vytegra,RU,61.0064,36.4481,17.06,93,57,3.06,broken clouds
233,Minas De Barroteran,MX,27.6333,-101.2833,85.64,38,47,7.54,scattered clouds
234,Patiya,BD,22.2931,91.9762,73.99,95,9,5.26,clear sky
235,Port Blair,IN,11.6667,92.75,82.44,78,40,5.75,mist
236,Iqaluit,CA,63.7506,-68.5145,26.33,86,75,23.02,broken clouds
237,Bam,IR,29.106,58.357,77.47,9,17,7.36,few clouds
238,Coahuayana,MX,18.7333,-103.6833,85.55,47,100,7.07,overcast clouds
239,Aguimes,ES,27.9054,-15.4461,65.03,73,75,17.27,broken clouds
240,Karasburg,NA,-28.0167,18.75,64.44,40,5,15.48,clear sky
241,Klaksvik,FO,62.2266,-6.589,45.52,98,100,17.07,overcast clouds
242,Mayo,US,38.8876,-76.5119,59.5,42,75,14.0,broken clouds
243,Shadegan,IR,30.6497,48.6647,76.95,11,100,7.49,overcast clouds
244,Port Dickson,MY,2.5228,101.7959,79.02,84,100,5.44,light rain
245,Kendallville,US,41.4414,-85.265,48.49,66,100,9.22,overcast clouds
246,Dingle,PH,10.9995,122.6711,75.78,86,100,7.0,overcast clouds
247,Marzuq,YE,14.4,46.4667,70.81,34,5,6.49,clear sky
248,Saint-Pierre,RE,-21.3393,55.4781,74.88,94,100,6.91,light rain
249,Geraldton,AU,-28.7667,114.6,72.01,88,75,14.97,broken clouds
250,Tetouan,MA,35.5711,-5.3724,56.17,62,75,23.02,broken clouds
251,Nola,IT,40.922,14.5329,51.66,80,95,3.04,overcast clouds
252,Saskylakh,RU,71.9167,114.0833,-6.97,98,100,9.48,overcast clouds
253,Shihezi,CN,44.3,86.0333,56.66,37,5,5.19,clear sky
254,Kota Kinabalu,MY,5.9749,116.0724,75.18,88,20,3.0,few clouds
255,Mount Gambier,AU,-37.8333,140.7667,46.31,100,46,4.61,mist
256,Luwuk,ID,-0.9516,122.7875,78.24,88,100,2.24,overcast clouds
257,Mehamn,NO,71.0357,27.8492,28.31,64,91,12.01,overcast clouds
258,Rapid City,US,44.0805,-103.231,56.41,25,0,33.38,clear sky
259,Yumen,CN,40.2833,97.2,47.41,22,5,12.53,clear sky
260,Mazagao,BR,-0.115,-51.2894,78.85,73,89,4.76,heavy intensity rain
261,Chapais,CA,49.7834,-74.8492,38.98,84,100,5.66,overcast clouds
262,Ushirombo,TZ,-3.4919,31.9639,67.86,79,63,2.35,broken clouds
263,Hammerfest,NO,70.6634,23.6821,25.25,74,40,9.22,scattered clouds
264,Gambo,CF,4.6482,22.2633,73.54,59,45,2.62,scattered clouds
265,Manta,EC,-0.95,-80.7333,80.38,78,40,4.61,scattered clouds
266,Kaseda,JP,31.4167,130.3167,52.07,62,0,5.73,clear sky
267,Huejuquilla El Alto,MX,22.6,-103.8667,85.32,8,43,12.57,scattered clouds
268,Ellisras,ZA,-23.6649,27.7443,71.08,70,100,6.29,overcast clouds
269,Kailua,US,21.4022,-157.7394,78.78,66,96,5.99,overcast clouds
270,Teguldet,RU,57.3064,88.1667,13.46,94,100,3.65,overcast clouds
271,Hvide Sande,DK,56.0045,8.1294,42.1,82,100,23.24,overcast clouds
272,Hadgaon,IN,19.5,77.6667,89.58,18,59,3.33,broken clouds
273,College,US,64.8569,-147.8028,19.08,65,75,3.44,broken clouds
274,Xiashi,CN,30.5363,120.6864,48.22,82,68,7.18,broken clouds
275,Uvinza,TZ,-5.1036,30.3911,67.01,93,79,2.73,broken clouds
276,Alugan,PH,12.2188,125.4808,78.69,86,80,11.95,broken clouds
277,Rio Grande,BR,-32.035,-52.0986,66.31,86,100,16.35,overcast clouds
278,Alofi,NU,-19.0595,-169.9187,75.09,94,100,3.44,overcast clouds
279,Victoria,HK,22.2855,114.1577,65.25,66,0,13.0,clear sky
280,Zhanaozen,KZ,43.3,52.8,56.41,59,51,9.33,broken clouds
281,Ostrovnoy,RU,68.0531,39.5131,17.06,91,100,6.6,overcast clouds
282,Richards Bay,ZA,-28.783,32.0377,74.7,89,94,10.13,overcast clouds
283,Salym,RU,60.0625,71.4789,31.26,96,100,15.01,snow
284,Arroyos Y Esteros,PY,-25.0667,-57.1,87.55,62,100,1.3,overcast clouds
285,Mbandaka,CD,0.0487,18.2603,74.82,78,93,1.25,overcast clouds
286,Codrington,AU,-38.2667,141.9667,58.42,86,100,5.26,overcast clouds
287,Yeppoon,AU,-23.1333,150.7333,69.58,74,49,9.55,scattered clouds
288,Riberalta,BO,-10.9833,-66.1,86.2,58,75,6.91,broken clouds
289,Isangel,VU,-19.55,169.2667,79.5,86,100,7.67,overcast clouds
290,Evensk,RU,61.95,159.2333,3.58,86,50,5.66,scattered clouds
291,Colac,AU,-38.3333,143.5833,55.83,90,55,5.73,broken clouds
292,Ola,RU,59.5833,151.2833,4.14,93,35,5.3,scattered clouds
293,Kama,RU,56.3051,54.0936,39.25,99,100,13.11,overcast clouds
294,Sitka,US,57.0531,-135.33,39.09,81,100,18.41,moderate rain
295,Hue,VN,16.4667,107.6,64.51,88,75,4.61,broken clouds
296,Cooma,AU,-36.2333,149.1333,53.37,87,100,5.75,moderate rain
297,Lyuban,BY,52.7985,28.0048,27.68,86,100,6.29,overcast clouds
298,Usinsk,RU,65.9939,57.5281,18.57,87,100,10.8,overcast clouds
299,Sompeta,IN,18.9333,84.6,78.1,88,14,12.68,few clouds
300,Ajdabiya,LY,30.7554,20.2263,79.16,14,0,7.94,clear sky
301,Bluefields,NI,12.0137,-83.7635,87.87,70,75,6.91,broken clouds
302,Portland,US,45.5234,-122.6762,54.61,69,100,9.22,overcast clouds
303,Canoinhas,BR,-26.1772,-50.39,69.91,79,100,1.72,overcast clouds
304,Beisfjord,NO,68.3751,17.5988,24.85,83,85,9.44,overcast clouds
305,Bani,DO,18.2833,-70.3333,85.44,60,18,13.38,few clouds
306,Sheltozero,RU,61.3667,35.3667,22.33,96,90,3.83,overcast clouds
307,Ankang,CN,32.68,109.0172,61.23,63,100,3.06,overcast clouds
308,Nayoro,JP,44.3506,142.4578,31.66,88,1,6.22,clear sky
309,Phan Thiet,VN,10.9333,108.1,76.96,73,89,7.45,overcast clouds
310,Wollongong,AU,-34.4333,150.8833,60.26,81,0,6.31,clear sky
311,Kemi,FI,65.8596,24.8228,17.37,86,20,3.44,few clouds
312,Corrientes,AR,-27.4806,-58.8341,76.96,83,100,3.44,overcast clouds
313,Dourbali,TD,11.8091,15.8632,92.08,8,100,6.51,overcast clouds
314,Arlit,NE,18.7369,7.3853,92.25,5,0,6.13,clear sky
315,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,73,12,15.57,few clouds
316,Villa Carlos Paz,AR,-31.4241,-64.4978,75.06,26,0,8.01,clear sky
317,Mayumba,GA,-3.432,10.6554,78.24,92,62,5.14,broken clouds
318,Alta Floresta,BR,-9.8756,-56.0861,80.42,83,40,6.91,light rain
319,Oranjemund,NA,-28.55,16.4333,60.22,92,0,4.29,clear sky
320,Ormara,PK,25.2088,64.6357,77.61,69,0,5.59,clear sky
321,Kochevo,RU,59.5994,54.3125,37.76,99,100,11.61,overcast clouds
322,Muhos,FI,64.808,25.9931,15.58,98,61,1.63,broken clouds
323,Cherskiy,RU,68.75,161.3,-4.18,99,100,3.38,overcast clouds
324,Sabha,LY,27.0377,14.4283,83.39,7,0,10.13,clear sky
325,Norsup,VU,-16.0667,167.3833,76.91,88,100,14.2,overcast clouds
326,Bathsheba,BB,13.2167,-59.5167,84.81,58,20,19.57,few clouds
327,Thinadhoo,MV,0.5333,72.9333,83.1,66,5,2.84,clear sky
328,Ahipara,NZ,-35.1667,173.1667,61.92,92,3,2.68,clear sky
329,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,37,20,23.02,few clouds
330,Baiyin,CN,36.5583,104.2081,46.92,43,66,3.29,broken clouds
331,Manzini,SZ,-26.25,31.5,72.72,92,100,1.48,light rain
332,Egvekinot,RU,66.3167,-179.1667,-9.08,84,43,18.19,scattered clouds
333,Hay River,CA,60.8156,-115.7999,35.58,44,40,14.97,scattered clouds
334,Ruy Barbosa,BR,-12.2839,-40.4939,85.77,45,94,10.92,overcast clouds
335,Saint-Augustin,CA,51.226,-58.6502,36.45,95,59,17.78,broken clouds
336,Vologda,RU,59.2187,39.8886,18.3,90,21,6.8,few clouds
337,Farah,AF,32.5,62.5,67.98,9,0,1.86,clear sky
338,Bonavista,CA,48.6499,-53.1147,36.99,84,100,15.26,overcast clouds
339,Tyler,US,32.3513,-95.3011,81.63,43,40,14.97,scattered clouds
340,Dzaoudzi,YT,-12.7887,45.2699,82.29,78,100,8.05,overcast clouds
341,Tuatapere,NZ,-46.1333,167.6833,46.18,93,74,3.27,broken clouds
342,Whitehorse,CA,60.7161,-135.0538,37.09,59,75,15.01,shower rain
343,Lorengau,PG,-2.0226,147.2712,80.1,78,100,0.67,overcast clouds
344,Cabo San Lucas,MX,22.8909,-109.9124,77.61,56,0,10.36,clear sky
345,Port Lincoln,AU,-34.7333,135.8667,59.18,83,0,1.72,clear sky
