City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Magrath,CA,2022-04-03 17:57:33,49.4167,-112.8686,44.92,56,60,9.22
168,Talara,PE,2022-04-03 17:57:33,-4.5772,-81.2719,88.56,48,0,18.41
169,Mogadouro,PT,2022-04-03 17:57:34,41.3403,-6.7119,44.94,35,81,13.89
170,Auki,SB,2022-04-03 17:57:34,-8.7676,160.7034,77.22,87,90,6.51
171,Mont-Dore,NC,2022-04-03 17:57:34,-22.2833,166.5833,82.0,99,99,9.37
172,Dikson,RU,2022-04-03 17:57:35,73.5069,80.5464,-2.4,99,85,9.4
173,Pulaski,US,2022-04-03 17:57:36,34.7668,-92.3001,72.32,40,1,8.99
174,East London,ZA,2022-04-03 17:52:45,-33.0153,27.9116,72.54,94,20,11.5
175,Panacan,PH,2022-04-03 17:57:36,9.2463,118.4082,79.43,83,100,8.7
176,Floriano,BR,2022-04-03 17:57:36,-6.7669,-43.0225,92.37,42,68,4.7
177,Chuy,UY,2022-04-03 17:57:37,-33.6971,-53.4616,71.31,69,100,9.71
178,Acapulco,MX,2022-04-03 17:56:35,16.8634,-99.8901,84.38,51,9,8.84
179,Mount Isa,AU,2022-04-03 17:57:37,-20.7333,139.5,73.17,28,11,6.91
180,Langsa,ID,2022-04-03 17:57:37,4.4683,97.9683,73.6,96,100,3.4
181,Orocue,CO,2022-04-03 17:58:38,4.7912,-71.3354,87.71,55,91,6.67
182,Coquimbo,CL,2022-04-03 17:58:38,-29.9533,-71.3436,64.13,72,0,13.8
183,Bandarbeyla,SO,2022-04-03 17:58:39,9.4942,50.8122,79.88,74,50,7.94
184,Fort Frances,CA,2022-04-03 17:58:39,48.5999,-93.4003,38.16,67,95,1.99
185,Challans,FR,2022-04-03 17:58:40,46.8436,-1.8749,46.6,61,80,8.41
186,Ponta Delgada,PT,2022-04-03 17:58:40,37.7333,-25.6667,63.32,67,20,14.97
187,Lavrentiya,RU,2022-04-03 17:58:41,65.5833,-171.0,-12.23,92,33,10.33
188,Tiksi,RU,2022-04-03 17:58:41,71.6872,128.8694,5.07,97,100,7.99
189,Greymouth,NZ,2022-04-03 17:58:41,-42.4667,171.2,50.67,90,30,5.03
190,Yoichi,JP,2022-04-03 17:58:42,43.2039,140.7703,36.23,72,1,9.1
191,Hambantota,LK,2022-04-03 17:58:42,6.1241,81.1185,80.02,79,20,3.0
192,Spearfish,US,2022-04-03 17:58:43,44.4908,-103.8594,51.89,40,75,26.46
193,Petropavlovsk-Kamchatskiy,RU,2022-04-03 17:58:43,53.0452,158.6483,25.39,59,75,11.18
194,Westport,US,2022-04-03 17:58:44,41.1415,-73.3579,44.56,92,97,1.99
195,Pisco,PE,2022-04-03 17:53:49,-13.7,-76.2167,71.65,68,0,9.22
196,Tevriz,RU,2022-04-03 17:58:44,57.509,72.4042,33.28,98,100,9.33
197,Roald,NO,2022-04-03 17:58:44,62.5833,6.1333,36.91,93,75,8.05
198,Beloha,MG,2022-04-03 17:58:45,-25.1667,45.05,72.34,86,1,9.86
199,Ulaanbaatar,MN,2022-04-03 17:58:45,47.9077,106.8832,21.33,42,0,0.0
200,Mildura,AU,2022-04-03 17:56:02,-34.2,142.15,55.36,76,18,3.44
201,Kaeo,NZ,2022-04-03 17:58:45,-35.1,173.7833,66.33,91,49,1.59
202,Cap-Aux-Meules,CA,2022-04-03 17:56:26,47.3821,-61.8597,33.85,75,20,18.41
203,Bongor,TD,2022-04-03 17:58:46,10.2806,15.3722,97.45,9,78,5.77
204,Naze,JP,2022-04-03 17:58:46,28.3667,129.4833,58.12,65,95,11.95
205,Ikungi,TZ,2022-04-03 17:58:47,-5.1333,34.7667,67.5,67,74,3.04
206,Jiaocheng,CN,2022-04-03 17:58:47,24.6774,116.1389,53.37,78,0,3.0
207,Ixtapa,MX,2022-04-03 17:58:15,20.7,-105.2,86.85,36,84,7.23
208,Mandurah,AU,2022-04-03 17:58:48,-32.55,115.7,68.92,85,91,18.34
209,Souillac,MU,2022-04-03 17:53:55,-20.5167,57.5167,79.18,78,75,10.36
210,Hobyo,SO,2022-04-03 17:58:48,5.3505,48.5268,82.02,73,10,9.24
211,Vangaindrano,MG,2022-04-03 17:58:49,-23.35,47.6,73.58,89,3,2.75
212,Charters Towers,AU,2022-04-03 17:58:49,-20.1,146.2667,73.92,88,96,7.36
213,Cabo San Lucas,MX,2022-04-03 17:57:47,22.8909,-109.9124,78.51,50,5,8.01
214,Aklavik,CA,2022-04-03 17:58:51,68.2191,-135.0107,-13.0,70,20,6.91
215,Taltal,CL,2022-04-03 17:58:51,-25.4,-70.4833,67.86,66,8,6.71
216,Inta,RU,2022-04-03 17:58:52,66.0317,60.1659,22.15,70,100,18.03
217,Erenhot,CN,2022-04-03 17:58:52,43.6475,111.9767,46.87,23,94,14.47
218,Arraial Do Cabo,BR,2022-04-03 17:56:34,-22.9661,-42.0278,84.16,74,40,9.22
219,Namibe,AO,2022-04-03 17:58:53,-15.1961,12.1522,72.23,73,100,19.57
220,Pueblo Nuevo,MX,2022-04-03 17:58:54,23.3833,-105.3833,76.28,13,35,8.55
221,Port-Gentil,GA,2022-04-03 17:58:54,-0.7193,8.7815,81.34,79,50,9.08
222,Talnakh,RU,2022-04-03 17:58:54,69.4865,88.3972,4.19,97,99,4.5
223,Kaitangata,NZ,2022-04-03 17:58:55,-46.2817,169.8464,46.08,95,68,5.35
224,Tura,IN,2022-04-03 17:58:55,25.5198,90.2201,70.99,91,6,6.53
225,Taiobeiras,BR,2022-04-03 17:58:56,-15.8078,-42.2331,86.9,28,0,9.22
226,Carbonia,IT,2022-04-03 17:58:56,39.1672,8.5222,53.01,63,100,4.85
227,San Cristobal,VE,2022-04-03 17:59:56,7.7669,-72.225,80.78,44,85,5.84
228,Esperance,AU,2022-04-03 17:59:57,-33.8667,121.9,64.24,90,100,7.4
229,Shubarshi,KZ,2022-04-03 17:59:57,48.5872,57.1869,49.05,66,89,13.27
230,Nishihara,JP,2022-04-03 17:59:58,26.1842,127.7558,63.68,77,95,14.97
231,Dali,CN,2022-04-03 17:59:58,25.7,100.1833,53.47,77,72,3.71
232,Korla,CN,2022-04-03 17:59:59,41.7597,86.1469,58.71,23,0,2.48
233,Ostrovnoy,RU,2022-04-03 18:00:00,68.0531,39.5131,18.03,90,100,8.99
234,Camacha,PT,2022-04-03 17:59:04,33.0833,-16.3333,56.62,94,75,13.8
235,Enumclaw,US,2022-04-03 17:58:02,47.2043,-121.9915,50.86,76,100,7.0
236,Paamiut,GL,2022-04-03 18:00:01,61.994,-49.6678,35.2,81,90,9.13
237,Porosozero,RU,2022-04-03 18:00:03,62.7191,32.727,20.48,97,98,3.78
238,Asyut,EG,2022-04-03 18:00:05,27.181,31.1837,85.28,10,100,10.83
239,Pevek,RU,2022-04-03 18:00:08,69.7008,170.3133,-22.04,96,24,2.98
240,Bykovo,RU,2022-04-03 18:00:09,55.6361,38.0803,33.53,55,0,6.71
241,Mbaiki,CF,2022-04-03 18:00:10,3.8678,17.9892,77.97,66,99,2.42
242,Kankaanpaa,FI,2022-04-03 18:00:11,61.8,22.4167,32.76,92,100,4.72
243,Gorin,RU,2022-04-03 18:00:11,51.1983,136.6669,31.23,92,100,5.99
244,Manakara,MG,2022-04-03 18:00:12,-22.1333,48.0167,74.07,88,1,4.34
245,Wuan,CN,2022-04-03 18:00:13,31.6836,112.0044,56.73,74,100,7.38
